date,region,market_id,campaign_id,campaign_name,channel,device,audience_segment,incentive_spend,marketing_spend,total_spend,orders_placed,orders_fulfilled,orders_unfulfilled,shoppers_active,shoppers_needed,supply_gap,gross_revenue,net_revenue,avg_order_value,new_customers,customer_ltv,customer_retention_rate,impressions,clicks,click_through_rate,conversion_rate,avg_delivery_time_min,order_cancellations,satisfaction_score
1/3/2025,Midwest,MI04,CUST_RET_Q1,Customer Retargeting,Email,Mobile,New,6858.65,9856.31,16714.96,1196,1018,178,70,169,99,72184.68,55469.72,70.91,338,45540.11,0.69,95410,9925,0.104,0.1026,47.66,57,7.2
1/3/2025,West,WE03,INC_Q1_BONUS,Winter Shopper Incentive,Paid Search,Desktop,Lapsed,1452.2,14050.26,15502.46,598,547,51,485,472,-13,43771.08,28268.62,80.02,481,95356.87,0.65,10335,515,0.0498,1.0621,103.73,29,6.8
1/3/2025,West,WE05,INC_Q1_BONUS,Winter Shopper Incentive,Email,Desktop,Returning,9649.59,2720.26,12369.85,527,455,72,99,245,146,41877.35,29507.5,92.04,230,41154.83,0.43,5353,440,0.0822,1.0341,92.24,1,6.7
1/3/2025,West,WE02,LOYALTY_Q1,Loyalty Rewards,Referral,Mobile,Lapsed,5140.92,10820.97,15961.89,1631,1591,40,104,216,112,134455.92,118494.03,84.51,48,8873.21,0.51,70625,7510,0.1063,0.2119,93.43,26,7.7
1/3/2025,Southeast,SO03,INC_Q1_BONUS,Winter Shopper Incentive,Referral,Mobile,Lapsed,599.83,11663.47,12263.3,208,193,15,457,446,-11,4470.17,-7793.13,23.16,121,13386.82,0.59,17080,1198,0.0701,0.1611,35.68,5,6.6
1/3/2025,Northeast,NO04,INC_Q1_BONUS,Winter Shopper Incentive,Email,Mobile,Returning,6709.55,12735.56,19445.11,435,411,24,93,195,102,15724.74,-3720.37,38.26,351,82340.62,0.68,45389,457,0.0101,0.8993,84.75,14,8.8
1/3/2025,Midwest,MI02,CUST_RET_Q1,Customer Retargeting,Paid Search,Mobile,Lapsed,5750.74,6704.1,12454.84,1242,1141,101,288,332,44,57454.02,44999.18,50.35,182,11741.88,0.71,33238,3535,0.1064,0.3228,62.79,45,8.7
1/4/2025,Northeast,NO03,INC_Q1_BONUS,Winter Shopper Incentive,Email,Desktop,New,7545.22,4911.82,12457.04,1314,1229,85,269,271,2,58825.23,46368.19,47.86,421,72703.02,0.44,9597,907,0.0945,1.355,81.9,61,6.4
1/4/2025,Midwest,MI04,CUST_RET_Q1,Customer Retargeting,Referral,Mobile,Returning,1056.37,8733.13,9789.5,577,521,56,238,222,-16,16488.5,6699,31.65,417,104563.99,0.52,72466,6465,0.0892,0.0806,111.72,17,6.5
1/4/2025,Southeast,SO03,CUST_RET_Q1,Customer Retargeting,Paid Search,Desktop,Returning,7261.89,13576.97,20838.86,949,910,39,179,140,-39,87561.3,66722.44,96.22,363,34828.46,0.4,65952,6222,0.0943,0.1463,74.08,7,6.8
1/4/2025,West,WE03,NEW_USER_Q1,New User Acquisition,Referral,Desktop,New,883.17,5566.38,6449.55,595,528,67,268,385,117,21437.1,14987.55,40.6,132,13316.65,0.66,71247,6352,0.0892,0.0831,31.89,24,6
1/4/2025,Southeast,SO03,NEW_USER_Q1,New User Acquisition,Paid Search,Mobile,Returning,5234.16,9445.44,14679.6,295,274,21,63,81,18,19595.58,4915.98,71.52,66,14322.05,0.28,38661,4565,0.1181,0.06,45.34,0,8.7
1/4/2025,Southeast,SO04,LOYALTY_Q1,Loyalty Rewards,Social,Desktop,Lapsed,8569.91,8459.86,17029.77,1023,925,98,172,257,85,99523.8,82494.03,107.59,238,56914.08,0.26,21365,1671,0.0782,0.5536,86.26,34,6.5
1/4/2025,Southeast,SO02,INC_Q1_BONUS,Winter Shopper Incentive,Social,Desktop,New,5996.36,13758.79,19755.15,934,864,70,416,513,97,31031.34,11276.19,35.92,389,82732.95,0.72,93934,9695,0.1032,0.0891,49.4,33,7.6
1/4/2025,Southeast,SO02,LOYALTY_Q1,Loyalty Rewards,Social,Mobile,Lapsed,6787.84,3904.57,10692.41,1209,1153,56,450,525,75,123267.12,112574.71,106.91,327,35689.43,0.64,5023,627,0.1248,1.8389,85.31,50,8.6
1/4/2025,Northeast,NO04,CUST_RET_Q1,Customer Retargeting,Referral,Mobile,Returning,1979.64,13325.91,15305.55,1158,1153,5,324,460,136,126693.41,111387.86,109.88,252,47512.69,0.54,39428,1373,0.0348,0.8398,52.7,45,6.2
1/4/2025,Northeast,NO02,NEW_USER_Q1,New User Acquisition,Referral,Desktop,Returning,8401.96,14726.59,23128.55,643,575,68,421,379,-42,40413.48,17284.93,70.28,209,40681.08,0.25,65075,3976,0.0611,0.1446,112.13,3,8.3
1/4/2025,Northeast,NO01,INC_Q1_BONUS,Winter Shopper Incentive,Social,Desktop,New,9569.06,13961.04,23530.1,103,91,12,286,258,-28,4703.29,-18826.81,51.68,494,109902.16,0.73,70110,3800,0.0542,0.0239,83.45,4,8.9
1/4/2025,Northeast,NO01,LOYALTY_Q1,Loyalty Rewards,Paid Search,Desktop,New,9756.02,1240.42,10996.44,1239,1204,35,425,564,139,107054.53,96058.09,88.92,121,30840.41,0.57,40599,1436,0.0354,0.8384,80.9,52,8.5
1/5/2025,West,WE03,INC_Q1_BONUS,Winter Shopper Incentive,Referral,Mobile,Returning,8200.26,14821.87,23022.13,276,250,26,331,343,12,14824.74,-8197.39,59.3,324,84411.63,0.7,19017,288,0.0151,0.8681,42.05,4,6.2
1/5/2025,West,WE04,INC_Q1_BONUS,Winter Shopper Incentive,Email,Desktop,Returning,9124.73,5426.75,14551.48,1165,1058,107,345,366,21,67620.47,53068.99,63.91,23,6323.09,0.57,72520,8315,0.1147,0.1272,75.24,24,7.1
1/5/2025,West,WE04,NEW_USER_Q1,New User Acquisition,Paid Search,Desktop,New,2751.76,4285.44,7037.2,1133,975,158,319,348,29,70177.96,63140.76,71.98,275,59770.59,0.29,7276,326,0.0448,2.9908,85.54,0,6.8
1/5/2025,West,WE02,NEW_USER_Q1,New User Acquisition,Paid Search,Desktop,Returning,6670.33,12261.8,18932.13,1591,1576,15,63,44,-19,103190.86,84258.73,65.48,411,57789.82,0.72,73567,10434,0.1418,0.151,45.06,4,6.2
1/5/2025,West,WE04,CUST_RET_Q1,Customer Retargeting,Paid Search,Desktop,Lapsed,8804.6,10911.17,19715.77,1913,1632,281,428,397,-31,37941.81,18226.04,23.25,48,4128.04,0.8,2909,226,0.0777,7.2212,35.72,53,7.8
1/5/2025,Midwest,MI04,NEW_USER_Q1,New User Acquisition,Social,Desktop,Lapsed,6501.86,4599.66,11101.52,1761,1601,160,70,203,133,34398.47,23296.95,21.49,452,49503.63,0.69,8507,764,0.0898,2.0955,69.2,33,8.1
1/5/2025,Northeast,NO05,NEW_USER_Q1,New User Acquisition,Referral,Desktop,Lapsed,6407.33,9419.03,15826.36,1544,1366,178,356,481,125,104243.09,88416.73,76.31,441,27319.92,0.31,18256,473,0.0259,2.8879,90.85,33,7.4
1/5/2025,Southeast,SO01,LOYALTY_Q1,Loyalty Rewards,Paid Search,Desktop,Lapsed,8467.62,9150.53,17618.15,1391,1293,98,495,535,40,69857.56,52239.41,54.03,298,47621.18,0.71,70306,3767,0.0536,0.3432,108.46,54,6.2
1/5/2025,Northeast,NO03,NEW_USER_Q1,New User Acquisition,Paid Search,Desktop,New,619.63,13575.13,14194.76,1509,1484,25,356,421,65,136271.69,122076.93,91.83,16,2836.01,0.79,3802,496,0.1305,2.9919,74.25,49,6
1/5/2025,Midwest,MI03,LOYALTY_Q1,Loyalty Rewards,Referral,Mobile,Lapsed,5920.32,7192.54,13112.86,1119,1050,69,175,135,-40,89439.01,76326.15,85.18,464,28890.21,0.73,70336,3185,0.0453,0.3297,115.94,14,7.1
1/5/2025,Midwest,MI01,LOYALTY_Q1,Loyalty Rewards,Social,Desktop,New,9384.04,14368.71,23752.75,1554,1421,133,252,274,22,80340.12,56587.37,56.54,181,46224.7,0.25,40695,6081,0.1494,0.2337,75.73,2,8.2
1/5/2025,West,WE01,CUST_RET_Q1,Customer Retargeting,Paid Search,Mobile,New,6058.45,4008.2,10066.65,694,693,1,283,292,9,73614.04,63547.39,106.23,67,14933.2,0.25,50153,7336,0.1463,0.0945,53.59,31,8.6
1/5/2025,Midwest,MI02,INC_Q1_BONUS,Winter Shopper Incentive,Social,Mobile,Returning,6565.54,11523.19,18088.73,867,834,33,233,331,98,20830.58,2741.85,24.98,140,16872.11,0.61,26280,3519,0.1339,0.237,62.54,18,9
1/6/2025,Southeast,SO04,NEW_USER_Q1,New User Acquisition,Social,Desktop,Returning,797.48,12791.99,13589.47,1679,1663,16,495,458,-37,154205.33,140615.86,92.73,280,20194.48,0.32,2016,291,0.1443,5.7148,106.01,81,7.6
1/6/2025,Northeast,NO03,CUST_RET_Q1,Customer Retargeting,Paid Search,Mobile,Lapsed,7624.15,13784.32,21408.47,1146,1106,40,214,246,32,49476.7,28068.23,44.73,87,8809.74,0.35,54932,5211,0.0949,0.2122,50.58,48,8.3
1/6/2025,Midwest,MI04,INC_Q1_BONUS,Winter Shopper Incentive,Referral,Desktop,New,974.8,12811.1,13785.9,1875,1873,2,99,59,-40,110855.06,97069.16,59.19,79,6100.64,0.58,26851,4008,0.1493,0.4673,94.06,89,7.6
1/6/2025,Midwest,MI04,INC_Q1_BONUS,Winter Shopper Incentive,Social,Mobile,Lapsed,6251.41,7064.28,13315.69,957,941,16,294,305,11,33544.46,20228.77,35.65,179,27519.96,0.63,52727,2020,0.0383,0.4658,58.24,39,7.8
1/6/2025,West,WE01,NEW_USER_Q1,New User Acquisition,Social,Mobile,Returning,6166.44,12401.37,18567.81,225,199,26,146,169,23,23238.08,4670.27,116.77,179,34206.69,0.76,19984,1671,0.0836,0.1191,98.34,11,6.6
1/6/2025,Northeast,NO02,LOYALTY_Q1,Loyalty Rewards,Referral,Desktop,Lapsed,7619.01,8639.74,16258.75,189,177,12,210,185,-25,4015.56,-12243.19,22.69,221,22985.74,0.78,29412,1923,0.0654,0.092,85.18,0,8.7
1/6/2025,Southeast,SO01,NEW_USER_Q1,New User Acquisition,Social,Mobile,Returning,5721.41,13429.45,19150.86,642,593,49,468,561,93,34618.82,15467.96,58.38,155,20018.34,0.44,58199,7308,0.1256,0.0811,54.77,27,8.7
1/6/2025,Northeast,NO02,LOYALTY_Q1,Loyalty Rewards,Email,Desktop,New,6046.95,3936.86,9983.81,718,713,5,454,571,117,51098.16,41114.35,71.67,91,26174.66,0.79,69816,4392,0.0629,0.1623,71.73,6,6.1
1/6/2025,Southeast,SO01,LOYALTY_Q1,Loyalty Rewards,Referral,Desktop,Lapsed,3104.29,3837.2,6941.49,894,837,57,480,431,-49,65991.89,59050.4,78.84,418,57267.4,0.63,96326,1395,0.0145,0.6,85.11,13,7.9
1/6/2025,Northeast,NO02,CUST_RET_Q1,Customer Retargeting,Social,Desktop,Returning,2632.04,8143.18,10775.22,905,855,50,132,252,120,41805.89,31030.67,48.9,483,80351.76,0.76,52410,6928,0.1322,0.1234,66.85,8,8.3
1/6/2025,West,WE04,CUST_RET_Q1,Customer Retargeting,Email,Desktop,Returning,8818.79,3928.61,12747.4,1888,1829,59,419,541,122,70521.59,57774.19,38.56,203,49720.36,0.27,2238,186,0.0831,9.8333,32,0,6.9
1/7/2025,Southeast,SO03,NEW_USER_Q1,New User Acquisition,Email,Desktop,Lapsed,4796.07,4144.47,8940.54,975,962,13,231,332,101,74808.19,65867.65,77.76,189,29244.23,0.75,38148,3482,0.0913,0.2763,86.9,27,6.6
1/7/2025,Southeast,SO02,LOYALTY_Q1,Loyalty Rewards,Email,Desktop,Returning,9452.53,12034.81,21487.34,382,339,43,112,123,11,30269.61,8782.27,89.29,26,2685.42,0.72,9949,849,0.0853,0.3993,78,3,6.3
1/7/2025,Midwest,MI01,NEW_USER_Q1,New User Acquisition,Social,Desktop,Lapsed,7589.42,3458.4,11047.82,1235,1180,55,407,524,117,76689.71,65641.89,64.99,417,105001.75,0.42,64925,9116,0.1404,0.1294,82.5,25,7.1
1/7/2025,Northeast,NO04,INC_Q1_BONUS,Winter Shopper Incentive,Social,Desktop,Lapsed,4049.68,6433.7,10483.38,1551,1543,8,398,454,56,130878.68,120395.3,84.82,286,26244.48,0.8,70134,4202,0.0599,0.3672,55.94,52,7.3
1/7/2025,Southeast,SO05,CUST_RET_Q1,Customer Retargeting,Paid Search,Desktop,Returning,5569.1,2583.48,8152.58,1265,1081,184,273,249,-24,53336.12,45183.54,49.34,174,39010.6,0.56,17473,1066,0.061,1.0141,61.77,31,8.2
1/7/2025,Northeast,NO03,CUST_RET_Q1,Customer Retargeting,Social,Mobile,Lapsed,5017.5,5454.45,10471.95,1385,1283,102,314,428,114,38391.07,27919.12,29.92,306,16822.46,0.62,55240,7714,0.1396,0.1663,101.37,59,8
1/7/2025,Southeast,SO05,LOYALTY_Q1,Loyalty Rewards,Social,Desktop,Returning,2830.45,14521.08,17351.53,1417,1339,78,337,440,103,33932.1,16580.57,25.34,413,55993.23,0.46,97917,13380,0.1366,0.1001,72.76,42,8.6
1/7/2025,Northeast,NO02,NEW_USER_Q1,New User Acquisition,Paid Search,Mobile,Returning,9659.39,5543.73,15203.12,1955,1733,222,401,518,117,82362.19,67159.07,47.53,456,62403.3,0.76,14105,1731,0.1227,1.0012,59.72,8,6.4
1/7/2025,Northeast,NO01,INC_Q1_BONUS,Winter Shopper Incentive,Email,Desktop,Lapsed,9333.11,13143.92,22477.03,707,645,62,226,265,39,44461.84,21984.81,68.93,180,40877.59,0.25,82099,2586,0.0315,0.2494,98.8,23,7.4
1/7/2025,Midwest,MI01,NEW_USER_Q1,New User Acquisition,Paid Search,Desktop,Lapsed,6883.58,2392.46,9276.04,1336,1172,164,413,423,10,28144.34,18868.3,24.01,21,2018.28,0.5,67113,9101,0.1356,0.1288,31.9,29,6.1
1/7/2025,Midwest,MI03,CUST_RET_Q1,Customer Retargeting,Social,Mobile,Lapsed,3420.04,10687.9,14107.94,1462,1318,144,448,433,-15,79138.68,65030.74,60.04,51,7085.01,0.39,80570,7870,0.0977,0.1675,70.09,38,8.8
1/8/2025,Midwest,MI05,NEW_USER_Q1,New User Acquisition,Referral,Desktop,New,4844.02,12788.32,17632.34,1091,1014,77,96,144,48,84915.39,67283.05,83.74,317,26370.07,0.78,84613,1332,0.0157,0.7613,65.89,18,7.3
1/8/2025,Northeast,NO04,NEW_USER_Q1,New User Acquisition,Paid Search,Desktop,Lapsed,4098.34,5724.26,9822.6,791,748,43,275,411,136,41596.04,31773.44,55.61,374,49587.58,0.76,28285,1175,0.0415,0.6366,62.88,3,8.6
1/8/2025,Southeast,SO02,INC_Q1_BONUS,Winter Shopper Incentive,Email,Mobile,New,2276.92,5531.51,7808.43,1910,1680,230,69,131,62,122613.12,114804.69,72.98,10,2026.55,0.37,2828,228,0.0806,7.3684,113.88,76,7.6
1/8/2025,Northeast,NO05,NEW_USER_Q1,New User Acquisition,Referral,Mobile,New,4128.43,3879.62,8008.05,1684,1495,189,373,400,27,40253.52,32245.47,26.93,226,41262.07,0.23,58713,3235,0.0551,0.4621,41.27,1,7.8
1/8/2025,Southeast,SO04,CUST_RET_Q1,Customer Retargeting,Paid Search,Mobile,Returning,3733.86,14846.4,18580.26,1378,1187,191,111,173,62,57603.96,39023.7,48.53,277,54209.37,0.8,59929,5409,0.0903,0.2194,89.29,47,8.5
1/8/2025,Northeast,NO05,INC_Q1_BONUS,Winter Shopper Incentive,Paid Search,Mobile,New,5658.73,4188.5,9847.23,163,153,10,403,363,-40,8467.95,-1379.28,55.35,56,14979.57,0.28,56690,4926,0.0869,0.0311,35.2,7,6.8
1/8/2025,West,WE03,INC_Q1_BONUS,Winter Shopper Incentive,Email,Desktop,Lapsed,8703.1,2852.03,11555.13,1611,1464,147,465,530,65,108959.27,97404.14,74.43,10,640.41,0.35,27957,1626,0.0582,0.9004,76.85,70,8.6
1/8/2025,Southeast,SO02,INC_Q1_BONUS,Winter Shopper Incentive,Paid Search,Mobile,Returning,5496.49,12323.19,17819.68,372,365,7,415,416,1,33887.42,16067.74,92.84,230,27457.56,0.76,34172,1846,0.054,0.1977,37.59,5,7.9
1/8/2025,Midwest,MI04,LOYALTY_Q1,Loyalty Rewards,Paid Search,Desktop,New,9065.5,13966.7,23032.2,672,593,79,152,171,19,41491.22,18459.02,69.97,372,61374.6,0.56,18733,2298,0.1227,0.2581,117.06,27,7.6
1/8/2025,Southeast,SO04,NEW_USER_Q1,New User Acquisition,Social,Mobile,New,2894.05,5570.62,8464.67,1388,1306,82,64,110,46,72541.7,64077.03,55.54,328,85352.9,0.23,11108,1590,0.1431,0.8214,81.11,47,8.7
1/8/2025,Northeast,NO04,NEW_USER_Q1,New User Acquisition,Paid Search,Desktop,Lapsed,2160.97,12681.92,14842.89,1033,1030,3,223,353,130,116146.74,101303.85,112.76,497,148956.47,0.55,10241,634,0.0619,1.6246,93.45,38,6.7
1/8/2025,Southeast,SO02,INC_Q1_BONUS,Winter Shopper Incentive,Paid Search,Mobile,New,1236.13,9305.63,10541.76,498,450,48,432,576,144,28095.22,17553.46,62.43,398,74941.76,0.33,68847,7921,0.1151,0.0568,36.59,2,8
1/8/2025,West,WE05,CUST_RET_Q1,Customer Retargeting,Paid Search,Desktop,Lapsed,9544.73,12789.52,22334.25,843,747,96,207,212,5,54292.18,31957.93,72.68,437,54777.77,0.3,48743,4013,0.0823,0.1861,84.87,36,6.1
1/8/2025,Southeast,SO04,INC_Q1_BONUS,Winter Shopper Incentive,Referral,Mobile,Lapsed,8723.56,3111.61,11835.17,541,461,80,164,248,84,13464.91,1629.74,29.21,478,46964.95,0.68,6279,88,0.014,5.2386,85.6,16,7.1
