EmployeeID,Survey_Date,Engagement_Score,Job_Satisfaction,Benefits_Satisfaction,Manager_Rating
116,11/12/2024,4,1,1,4
117,4/7/2023,4,5,4,5
118,10/19/2024,5,3,1,1
119,1/28/2024,4,1,5,3
120,4/12/2024,4,4,2,2
121,1/6/2024,1,4,1,1
122,1/28/2024,1,4,2,3
123,1/18/2023,1,5,4,4
124,7/3/2023,4,2,3,1
125,5/23/2023,5,3,3,4
126,4/7/2024,2,2,5,5
127,5/21/2024,3,4,1,5
128,11/30/2023,5,5,4,4
129,3/3/2023,1,1,4,5
130,6/12/2023,5,5,2,5
131,7/5/2024,2,2,5,2
132,6/28/2023,1,4,4,4
133,8/23/2023,2,3,1,4
134,3/1/2023,3,5,4,3
135,8/16/2023,5,2,3,2
136,8/27/2023,3,2,5,1
137,7/21/2024,4,1,2,2
138,3/25/2023,5,3,1,1
139,12/15/2024,4,2,3,4
140,2/10/2023,2,3,4,2
141,3/13/2024,4,4,5,3
142,6/12/2024,2,5,5,5
143,4/15/2023,3,2,1,1
144,6/20/2024,1,4,2,5
145,1/17/2024,3,1,3,4
146,4/3/2023,4,3,2,4
147,8/3/2023,2,4,1,4
148,11/26/2024,4,3,1,5
149,8/5/2023,1,3,3,4
150,5/3/2024,5,2,5,4
151,5/31/2023,5,3,5,5
152,1/9/2024,5,4,3,4
153,9/22/2024,4,1,2,1
154,3/24/2024,5,2,3,2
155,2/26/2024,2,5,5,1
156,10/7/2024,1,1,2,4
157,7/26/2023,3,4,4,4
158,12/2/2024,2,2,2,4
159,10/31/2024,1,3,5,4
160,4/21/2024,3,1,1,5
161,8/10/2024,5,2,2,2
162,7/17/2024,3,5,2,5
163,8/14/2023,4,5,1,5
164,8/28/2024,4,5,5,4
165,11/20/2024,5,2,4,1
166,1/22/2024,5,1,4,1
167,4/16/2023,2,3,3,3
168,3/17/2023,2,1,4,2
169,5/30/2024,4,3,4,3
170,7/6/2023,1,1,2,5
171,6/15/2024,2,1,3,3
172,10/2/2023,1,2,4,3
173,10/9/2024,4,5,2,3
174,6/22/2024,2,5,3,2
175,10/9/2024,1,5,2,1
176,1/18/2023,1,5,1,1
177,10/12/2023,2,1,5,3
178,10/29/2023,5,5,5,2
179,5/13/2024,3,1,5,1
180,10/11/2024,5,3,4,4
181,9/14/2023,3,4,5,1
182,8/7/2023,1,4,5,1
183,10/5/2024,2,3,3,2
184,12/23/2023,4,1,3,2
185,9/13/2023,2,5,3,1
186,8/30/2024,5,2,4,4
187,10/1/2023,3,1,5,4
188,11/30/2023,2,1,4,3
189,1/3/2024,3,3,4,3
190,1/15/2023,5,3,4,1
191,6/28/2023,5,2,4,1
192,3/20/2024,2,5,4,1
193,2/7/2024,4,4,4,4
194,3/29/2023,4,5,5,5
195,4/4/2023,3,5,3,3
196,1/30/2024,2,1,2,3
197,1/28/2023,1,2,2,5
198,11/27/2024,5,1,2,1
199,3/16/2023,3,3,1,3
200,2/23/2023,5,4,3,4
201,11/17/2023,3,2,5,5
202,7/12/2024,2,2,4,4
203,8/22/2023,3,5,2,1
204,9/21/2024,3,1,3,3
205,8/18/2023,1,5,5,4
206,11/28/2023,3,5,2,5
207,11/24/2024,4,2,3,1
208,4/16/2024,3,4,5,3
209,11/13/2023,3,3,3,3
210,4/11/2023,2,5,4,1
211,9/5/2023,3,4,3,1
212,4/24/2024,1,5,3,1
213,9/16/2024,2,4,1,4
214,8/9/2023,5,1,4,2
215,12/5/2023,4,3,3,3
216,5/28/2023,4,2,4,4
217,10/23/2023,5,1,3,5
218,12/9/2024,3,5,4,3
219,2/11/2024,1,5,5,2
220,8/3/2024,1,3,2,5
221,4/22/2024,1,3,1,3
222,1/24/2023,1,3,2,2
223,7/5/2023,3,5,3,1
224,6/19/2023,5,5,3,2
225,6/27/2024,5,2,5,3
226,3/13/2024,4,3,3,2
227,10/28/2023,5,4,4,3
228,11/18/2024,1,2,2,3
229,12/30/2023,3,4,3,2
230,6/26/2023,2,1,5,2
231,5/24/2023,2,3,1,5
232,6/6/2024,1,2,2,5
233,4/25/2024,4,2,5,4
234,5/6/2024,2,1,5,3
235,4/30/2024,1,1,2,5
236,10/20/2024,3,1,5,4
237,4/29/2024,2,2,1,3
238,3/12/2024,1,5,1,4
239,7/14/2023,2,4,3,5
240,4/10/2024,3,4,4,4
241,3/17/2023,5,1,3,2
242,6/9/2023,5,5,4,4
243,5/4/2024,3,5,2,1
244,4/10/2023,3,1,5,1
245,4/26/2023,5,3,3,4
246,1/15/2024,3,2,5,1
247,8/17/2024,3,3,3,4
248,3/4/2023,3,5,3,4
249,5/12/2023,5,1,1,4
250,9/5/2023,5,2,4,1
251,1/30/2024,2,4,2,3
252,10/4/2024,5,5,5,4
253,2/15/2024,2,2,3,4
254,3/3/2024,5,2,5,2
255,10/31/2024,4,3,1,2
256,12/28/2024,2,4,2,5
257,11/22/2023,3,3,4,1
258,6/29/2024,4,3,4,3
259,1/10/2024,5,3,3,4
260,10/25/2023,5,3,2,4
261,10/6/2023,4,5,4,1
262,10/23/2023,1,4,2,5
263,6/10/2024,3,3,5,5
264,4/25/2023,2,5,1,2
265,5/7/2024,4,5,2,1
266,2/26/2023,2,2,2,5
267,5/22/2023,5,2,4,5
268,12/19/2024,1,1,3,3
269,10/13/2024,1,5,3,2
270,9/10/2024,2,1,5,2
271,2/13/2024,5,5,4,2
272,3/19/2023,1,3,4,5
273,1/2/2023,3,3,1,4
274,2/4/2023,5,1,3,5
275,1/30/2024,4,3,4,5
276,8/6/2023,4,3,5,1
277,3/8/2023,4,2,1,2
278,3/10/2023,3,3,3,2
279,8/12/2023,5,2,3,3
280,12/27/2023,2,4,3,2
281,4/2/2024,2,5,1,5
282,10/21/2023,5,2,5,1
283,11/22/2023,3,2,5,3
284,7/22/2023,5,2,4,5
285,8/15/2024,2,5,4,5
286,7/31/2024,5,5,3,3
287,10/24/2023,4,5,2,5
288,9/18/2023,5,3,4,5
289,6/1/2024,1,2,5,1
290,5/12/2023,5,5,3,1
291,11/21/2023,2,4,5,1
292,3/9/2023,2,5,3,2
293,5/6/2023,2,1,1,3
294,1/28/2024,4,1,4,1
295,2/6/2024,2,2,1,5
296,11/13/2024,1,2,4,2
297,12/2/2023,5,2,5,3
298,1/29/2023,3,3,5,1
299,11/18/2024,2,1,2,1
300,9/8/2024,5,1,5,3
301,2/14/2023,4,2,3,1
302,4/11/2023,5,1,2,3
303,8/14/2023,2,1,3,3
304,2/23/2024,2,3,2,5
305,9/7/2024,2,4,3,3
306,9/19/2023,1,2,2,4
307,11/7/2024,5,4,4,1
308,10/19/2023,3,4,4,5
309,7/31/2023,1,3,2,2
310,10/17/2024,3,1,1,4
311,3/31/2024,2,2,2,3
312,8/24/2023,3,5,1,2
313,6/17/2024,3,4,3,2
314,3/10/2023,1,4,2,2
315,8/3/2024,1,3,1,2
316,9/3/2023,5,4,2,5
317,7/28/2024,3,4,4,5
318,8/25/2023,1,4,4,2
319,11/27/2023,5,3,2,4
320,12/29/2023,3,1,2,1
321,6/14/2024,3,4,5,1
322,4/9/2024,2,2,4,5
323,8/17/2023,1,4,3,4
324,5/23/2024,4,4,2,4
325,1/17/2024,1,2,5,3
326,5/7/2023,2,3,2,5
327,10/19/2024,5,5,4,4
328,4/24/2023,1,2,1,4
329,8/31/2023,3,5,1,1
330,5/25/2023,4,1,4,4
331,7/6/2024,5,1,3,4
332,11/3/2024,1,4,5,2
333,3/14/2024,5,4,2,1
334,12/4/2023,3,3,2,1
335,2/12/2024,4,5,2,2
336,8/11/2024,3,1,5,1
337,6/17/2023,4,1,5,3
338,9/13/2024,5,4,4,3
339,12/7/2024,1,4,5,5
340,6/16/2023,4,3,2,1
341,6/16/2024,3,4,2,1
342,6/14/2023,4,4,5,3
343,10/3/2024,5,3,5,5
344,9/19/2023,5,4,4,5
345,7/17/2024,5,4,1,3
346,9/18/2023,1,4,5,3
347,6/24/2023,5,5,1,2
348,4/6/2023,1,1,3,5
349,12/23/2023,2,2,1,5
350,1/5/2024,4,1,5,2
351,7/5/2024,3,5,2,3
352,12/21/2024,1,2,2,2
353,5/22/2023,1,1,5,2
354,6/16/2023,3,3,4,4
355,12/3/2024,4,5,5,5
356,11/15/2023,5,3,5,3
357,9/22/2024,4,3,4,4
358,10/19/2024,1,1,4,4
359,12/1/2023,5,2,3,4
360,4/18/2024,2,4,3,3
361,10/2/2024,3,4,3,2
362,5/25/2023,4,5,4,3
363,2/23/2023,5,3,1,5
364,5/2/2023,3,5,5,5
365,5/4/2023,4,1,3,2
366,6/16/2023,1,3,1,3
367,10/16/2024,1,4,5,2
368,1/22/2023,1,1,1,2
369,10/3/2023,2,1,2,3
370,2/12/2024,1,5,2,5
371,4/26/2024,1,5,5,3
372,10/26/2023,1,2,1,5
373,10/4/2023,5,4,1,1
374,11/18/2023,3,4,4,1
375,4/25/2023,2,5,3,1
376,9/29/2023,4,4,5,4
377,6/17/2023,2,4,1,5
378,3/11/2024,3,1,3,5
379,9/21/2023,1,3,5,3
380,9/7/2023,1,3,1,5
381,4/6/2024,4,2,2,3
382,3/14/2024,2,3,1,4
383,12/8/2023,2,4,2,3
384,4/10/2024,4,1,2,1
385,2/27/2023,2,3,4,3
386,1/5/2023,2,4,4,3
387,9/14/2024,2,4,3,3
388,9/22/2023,4,5,5,5
389,9/6/2023,4,5,3,2
390,4/5/2023,3,3,4,2
391,11/27/2024,2,5,3,2
392,4/1/2024,3,4,5,5
393,11/13/2023,5,4,5,1
394,4/29/2023,5,5,1,2
395,7/21/2023,2,1,3,2
396,2/22/2023,1,5,4,4
397,11/13/2023,5,1,1,4
398,11/3/2024,1,5,3,1
399,9/1/2023,3,4,5,3
400,4/4/2023,2,4,4,3
401,7/5/2024,3,5,3,4
402,10/7/2023,3,2,5,4
403,4/2/2023,4,1,5,1
404,2/7/2023,2,2,3,1
405,2/17/2024,4,4,3,5
406,8/31/2023,3,1,4,3
407,12/30/2023,1,5,1,5
408,10/9/2024,2,1,5,2
409,3/5/2023,2,1,1,1
410,7/20/2023,5,3,1,3
411,11/3/2023,1,1,5,3
412,6/24/2023,1,4,3,5
413,11/19/2024,3,2,5,4
414,8/19/2024,3,2,1,4
415,11/2/2024,3,5,4,1
416,11/24/2024,5,3,5,4
417,7/1/2024,1,2,4,2
418,4/9/2023,4,2,3,3
419,8/14/2023,1,1,3,4
420,7/2/2024,4,4,4,1
421,9/30/2023,2,4,4,2
422,7/5/2023,4,5,5,5
423,3/27/2024,2,4,3,5
424,7/14/2024,3,2,4,2
425,5/19/2024,1,1,2,1
426,4/4/2023,3,4,5,5
427,11/3/2023,1,3,5,3
428,5/31/2024,4,3,2,3
429,6/23/2023,1,3,3,1
430,11/25/2024,4,4,4,1
431,3/14/2023,1,1,4,3
432,5/25/2023,2,4,3,1
433,10/25/2024,4,2,2,2
434,2/25/2023,3,4,2,1
435,11/25/2024,3,3,2,3
436,9/25/2024,3,3,5,4
437,9/1/2023,3,1,4,1
438,7/23/2023,2,5,1,5
439,8/13/2024,2,3,5,2
440,1/16/2023,5,3,5,2
441,5/6/2023,5,5,4,2
442,8/21/2024,5,4,3,5
443,4/10/2024,5,3,4,5
444,3/3/2024,1,1,3,2
445,12/17/2023,4,4,4,2
446,7/8/2024,3,4,5,2
447,3/20/2023,1,3,2,1
448,5/15/2024,2,4,5,5
449,1/14/2024,3,4,5,3
450,9/21/2023,4,1,1,1
451,11/1/2023,4,4,5,3
452,5/2/2024,2,3,5,1
453,5/5/2023,3,3,5,1
454,9/9/2024,5,5,1,3
455,10/7/2024,3,2,3,2
456,3/22/2023,3,5,1,3
457,9/12/2024,4,1,2,4
458,6/24/2023,2,1,3,5
459,11/6/2024,3,3,1,4
460,5/5/2023,1,2,2,1
461,12/14/2023,1,5,2,3
462,1/2/2024,2,2,4,2
463,6/18/2024,5,3,4,2
464,2/19/2024,3,4,5,4
465,7/27/2024,3,3,3,4
466,12/24/2024,4,3,1,1
467,9/9/2023,3,2,5,5
468,8/30/2024,5,1,3,1
469,12/21/2024,3,4,4,2
470,7/22/2024,3,4,1,3
471,8/22/2023,4,1,2,4
472,12/24/2023,1,2,2,2
473,11/22/2023,1,2,5,1
474,3/6/2023,5,1,5,5
475,10/20/2023,2,5,1,3
476,11/20/2023,2,2,2,5
477,11/27/2023,4,1,5,1
478,6/12/2024,3,5,2,1
479,5/15/2023,4,3,4,2
480,2/23/2024,1,4,5,3
481,5/10/2023,5,1,3,1
482,7/2/2024,2,2,5,2
483,7/22/2024,3,4,4,1
484,12/23/2023,2,5,1,2
485,6/5/2024,1,4,2,5
486,4/4/2024,3,1,1,2
487,8/15/2024,1,3,5,5
488,8/24/2024,2,5,3,4
489,9/23/2024,2,5,1,1
490,9/5/2024,1,5,3,4
491,5/9/2024,3,4,5,3
492,6/22/2024,1,3,3,4
493,9/18/2023,3,1,3,2
494,7/26/2024,4,1,4,2
495,5/16/2023,4,4,1,3
496,8/31/2024,3,1,5,3
497,10/22/2024,1,1,4,1
498,8/15/2023,3,3,3,2
499,8/16/2023,2,4,4,3
500,9/15/2023,1,4,4,4
501,2/18/2024,3,5,3,2
502,8/8/2023,2,1,5,3
503,8/24/2023,5,2,2,1
504,1/20/2023,2,3,4,5
505,2/28/2024,3,3,1,2
506,2/17/2024,1,2,3,2
507,1/24/2024,1,5,2,2
508,12/11/2023,4,2,4,2
509,10/11/2024,3,2,3,5
510,4/11/2024,2,5,3,5
511,7/8/2023,2,2,4,1
512,9/8/2024,3,5,1,2
513,1/3/2024,2,1,3,3
514,1/20/2024,5,5,3,4
515,4/8/2023,4,4,4,2
516,9/27/2023,1,4,2,5
517,10/26/2024,2,2,3,1
518,8/6/2023,5,4,3,2
519,1/21/2023,3,5,4,1
520,9/29/2023,2,1,3,3
521,12/14/2024,3,5,4,3
522,6/9/2023,5,3,1,3
523,5/6/2024,5,2,4,3
524,3/4/2024,1,1,2,4
525,7/29/2024,3,2,3,1
526,8/18/2024,4,3,1,2
527,8/7/2024,1,4,3,4
528,7/25/2024,3,3,3,2
529,10/20/2024,3,4,4,5
530,2/16/2023,5,2,3,4
531,8/11/2023,5,2,1,4
532,6/7/2023,3,2,5,5
533,2/16/2023,5,5,3,4
534,12/22/2024,3,1,4,1
535,6/16/2024,3,5,2,3
536,12/17/2023,1,3,3,2
537,11/15/2023,1,1,4,5
538,8/19/2023,4,2,3,3
539,10/25/2023,1,2,5,4
540,3/20/2024,2,2,5,1
541,4/15/2023,2,4,1,4
542,9/29/2024,5,3,5,5
543,10/26/2023,2,5,4,4
544,3/9/2023,1,3,5,1
545,6/21/2024,4,4,4,4
546,11/3/2024,3,4,3,4
547,9/11/2024,4,3,1,4
548,8/18/2024,1,4,1,4
549,2/10/2023,1,1,5,1
550,7/19/2023,1,2,2,2
551,7/1/2024,5,5,5,3
552,1/10/2024,2,4,2,5
553,2/10/2024,1,5,5,2
554,8/22/2023,3,2,4,1
555,5/22/2024,2,3,4,5
556,8/30/2023,2,2,2,5
557,12/5/2023,5,5,1,4
558,1/20/2023,4,1,2,3
559,10/25/2024,2,3,3,3
560,6/20/2023,2,4,1,1
561,8/4/2023,1,1,2,2
562,1/16/2023,3,2,3,4
563,10/10/2023,1,5,3,3
564,10/28/2023,3,5,5,4
565,6/14/2023,2,5,2,2
566,11/21/2024,3,2,4,5
567,9/15/2023,1,3,5,2
568,8/10/2024,1,4,1,5
569,9/8/2024,4,1,4,2
570,12/19/2023,5,2,3,4
571,3/28/2023,4,5,1,2
572,6/9/2024,2,4,5,3
573,1/9/2023,3,5,3,3
574,4/7/2024,1,2,3,1
575,6/19/2024,1,5,3,3
576,9/15/2024,1,2,4,3
577,10/24/2023,1,5,5,5
578,8/5/2023,2,2,5,4
579,8/16/2023,5,5,4,4
580,2/1/2023,4,4,5,5
581,3/6/2024,4,4,3,3
582,6/19/2023,1,5,3,2
583,8/19/2023,1,5,3,5
584,3/11/2023,3,2,5,4
585,4/21/2023,1,2,2,1
586,3/30/2023,4,2,1,4
587,1/2/2023,3,3,2,2
588,2/25/2023,3,5,4,4
589,10/31/2024,1,5,2,5
590,9/28/2023,3,5,2,1
591,10/1/2023,5,5,4,4
592,6/27/2024,1,2,2,5
593,9/27/2023,5,2,1,5
594,7/9/2023,1,3,5,5
595,12/22/2024,5,2,4,1
596,4/27/2024,1,5,2,5
597,11/4/2023,4,5,3,1
598,1/22/2023,1,1,3,2
599,1/14/2023,4,2,4,2
600,4/30/2024,2,1,3,2
601,12/18/2024,2,5,1,5
602,6/29/2024,1,2,2,1
603,4/8/2024,4,5,1,2
604,7/21/2024,4,1,1,3
605,3/8/2024,3,1,5,2
606,7/28/2024,3,4,2,5
607,2/4/2024,5,4,4,3
608,8/14/2024,3,2,3,4
609,7/5/2024,1,2,5,3
610,10/6/2023,3,2,1,4
611,4/20/2023,3,2,3,3
612,2/17/2023,1,2,2,1
613,3/23/2023,1,2,1,3
614,11/16/2024,5,2,1,2
615,9/16/2024,4,1,2,4
616,10/5/2023,3,1,4,4
617,1/16/2024,2,1,5,2
618,11/6/2023,4,5,2,1
619,7/5/2024,1,3,3,3
620,6/25/2024,3,5,3,1
621,8/28/2023,5,2,1,2
622,7/2/2023,2,3,5,3
623,7/3/2023,4,1,4,2
624,7/7/2024,3,1,4,4
625,4/10/2024,1,4,3,4
626,9/30/2024,4,2,4,4
627,3/12/2024,2,2,3,5
628,8/16/2024,1,4,5,5
629,8/21/2023,2,5,1,4
630,12/4/2024,3,4,3,5
631,1/1/2023,4,2,5,5
632,5/19/2024,5,1,3,2
633,12/28/2023,3,4,2,3
634,12/19/2024,3,3,3,4
635,12/9/2024,5,1,5,5
636,10/10/2023,5,5,4,2
637,6/12/2024,1,1,3,2
638,6/18/2023,2,5,1,3
639,7/5/2023,3,1,5,2
640,5/2/2023,1,2,4,1
641,3/16/2024,1,5,5,1
642,9/30/2024,3,5,3,4
643,11/8/2024,2,4,2,3
644,4/18/2024,5,1,2,1
645,5/2/2023,3,5,1,3
646,1/1/2025,2,5,1,4
647,10/21/2024,5,1,4,2
648,10/19/2023,4,1,2,2
649,9/4/2023,3,3,3,2
650,7/7/2023,3,4,5,1
651,6/6/2024,2,5,5,3
652,10/11/2023,1,1,2,1
653,7/10/2024,1,5,2,5
654,5/4/2023,2,3,5,3
655,9/4/2023,3,3,4,4
656,2/10/2024,3,5,5,1
657,12/3/2023,3,4,1,2
658,6/8/2023,4,2,3,2
659,9/24/2023,1,5,2,2
660,10/19/2023,4,3,2,1
661,8/12/2024,3,4,4,1
662,5/31/2023,1,1,1,2
663,10/12/2023,3,4,5,2
664,5/31/2023,3,4,1,2
665,5/4/2023,2,5,1,5
666,9/29/2023,1,4,4,1
667,12/6/2023,3,1,4,2
668,12/29/2024,5,5,5,4
669,10/20/2024,5,3,5,2
670,12/30/2024,3,1,3,1
671,8/30/2024,2,5,1,4
672,3/22/2024,3,5,5,1
673,7/15/2024,5,2,4,1
674,4/1/2024,1,1,3,1
675,7/8/2024,2,4,3,3
676,6/14/2024,3,1,4,4
677,4/23/2023,5,1,5,5
678,12/25/2024,1,2,4,5
679,6/13/2024,5,4,5,3
680,10/7/2024,2,2,4,1
681,6/9/2024,4,2,4,5
682,3/5/2023,3,2,2,4
683,1/28/2024,1,1,5,2
684,11/5/2024,2,2,1,4
685,5/13/2024,2,3,2,1
686,6/1/2024,4,4,2,4
687,12/21/2023,4,4,2,1
688,9/24/2024,3,2,2,4
689,6/2/2023,3,1,1,3
690,11/25/2023,2,5,2,4
691,11/20/2024,3,5,1,5
692,4/23/2024,3,1,1,2
693,1/26/2024,4,2,2,3
694,7/28/2024,2,2,3,4
695,2/16/2024,5,3,1,1
696,9/15/2023,5,5,2,3
697,7/30/2024,1,5,4,5
698,5/21/2024,4,4,4,2
699,11/29/2024,1,2,5,2
700,12/11/2024,2,1,1,4
701,10/21/2023,5,2,1,5
702,4/21/2024,5,2,4,5
703,12/5/2024,5,3,1,2
704,5/22/2024,1,1,1,2
705,4/29/2023,3,3,4,5
706,11/21/2024,1,3,2,2
707,4/22/2024,5,3,4,1
708,7/17/2024,4,3,3,2
709,9/13/2024,4,2,4,1
710,9/1/2024,1,4,4,2
711,11/15/2023,1,2,2,3
712,1/30/2024,2,3,4,3
713,2/17/2023,1,3,4,3
714,9/4/2024,1,4,2,1
715,3/13/2024,5,5,4,1
716,4/19/2024,3,1,2,4
717,8/8/2024,5,3,3,4
718,7/3/2024,3,3,2,2
719,12/28/2024,5,2,1,1
720,5/16/2023,5,3,1,3
721,6/1/2024,2,3,2,3
722,11/20/2023,3,1,4,3
723,7/16/2023,5,2,5,2
724,4/21/2023,5,5,5,1
725,7/3/2024,3,3,3,2
726,4/25/2023,2,3,3,5
727,11/27/2024,3,5,5,5
728,12/24/2024,2,4,5,4
729,5/2/2024,2,5,2,1
730,12/31/2023,4,5,5,3
731,4/28/2024,2,2,1,1
732,11/6/2023,4,5,3,4
733,4/23/2023,1,2,3,3
734,9/27/2023,2,5,1,2
735,11/16/2023,3,3,3,3
736,6/24/2023,4,3,5,5
737,1/19/2023,1,4,3,2
738,7/22/2023,1,5,1,3
739,5/6/2023,2,1,3,2
740,4/11/2024,3,5,5,5
741,9/11/2023,2,1,2,5
742,10/19/2023,5,5,5,1
743,6/1/2023,1,2,3,5
744,7/18/2023,5,3,4,5
745,7/18/2023,5,1,3,5
746,11/17/2024,4,1,3,4
747,3/28/2024,5,5,1,5
748,6/29/2023,1,3,4,1
749,8/6/2023,1,4,1,2
750,9/21/2024,3,1,1,4
751,11/16/2023,2,3,5,2
752,1/23/2023,3,3,2,2
753,9/28/2024,3,1,3,1
754,3/25/2023,2,2,4,4
755,12/11/2024,1,2,3,3
756,11/22/2023,4,5,1,5
757,11/29/2024,5,5,2,2
758,11/25/2023,4,3,1,2
759,8/26/2024,5,1,3,1
760,11/26/2023,2,2,5,1
761,11/24/2024,2,3,3,1
762,12/11/2024,3,2,1,4
763,4/17/2024,2,1,4,5
764,4/22/2024,5,2,4,4
765,8/23/2023,4,4,4,1
766,7/9/2024,4,5,4,1
767,8/10/2024,4,2,4,2
768,10/14/2024,4,1,2,4
769,11/24/2024,3,1,2,4
770,4/29/2023,4,4,5,5
771,2/9/2023,5,1,4,4
772,9/17/2023,3,4,1,5
773,10/2/2024,3,3,1,3
774,1/6/2023,3,2,3,5
775,11/7/2023,2,1,4,1
776,3/7/2023,3,5,1,3
777,1/9/2024,5,2,5,2
778,12/31/2024,4,4,1,2
779,5/26/2023,2,2,5,2
780,8/22/2023,4,2,4,1
781,1/29/2023,1,1,3,2
782,11/3/2024,2,5,3,5
783,10/4/2024,5,3,2,1
784,10/21/2024,2,5,4,4
785,8/16/2024,3,4,1,1
786,4/14/2024,2,5,3,1
787,12/27/2023,3,5,5,4
788,8/17/2024,4,4,5,5
789,8/7/2024,2,5,1,3
790,12/21/2023,2,3,1,4
791,12/26/2024,5,2,4,1
792,1/26/2023,1,3,1,2
793,10/17/2023,2,2,1,4
794,3/12/2023,4,2,1,4
795,11/19/2024,3,5,3,3
796,3/30/2023,4,2,4,1
797,6/26/2023,5,4,1,2
798,1/27/2023,2,3,1,2
799,10/16/2023,1,2,5,3
800,7/28/2024,1,5,3,2
801,6/14/2024,2,5,1,5
802,4/28/2024,1,5,3,4
803,3/9/2024,4,1,4,4
804,5/7/2024,3,3,4,2
805,10/5/2023,2,5,2,2
806,12/12/2023,3,4,5,2
807,8/1/2024,1,5,2,4
808,8/26/2023,5,1,3,2
809,5/17/2023,3,3,5,5
810,6/12/2023,5,2,1,5
811,10/20/2023,4,3,5,4
812,1/28/2023,5,2,5,1
813,9/13/2023,3,2,4,1
814,9/15/2024,3,5,2,1
815,10/26/2024,2,4,4,5
816,9/22/2023,5,4,4,3
817,7/17/2024,4,5,2,1
